tournament_id,games_rents_during_tournament,meeting_time,bringing_children,snack_and_drinks
74,rents allowed during tournament,evening,do not bring children,no snacks and drinks provided
75,rents allowed during tournament,evening,do not bring children,no snacks and drinks provided
76,rents disabled during tournaments,morning,do not bring children,free snacks and drinks
77,rents disabled during tournaments,evening,do not bring children,no snacks and drinks provided
78,rents allowed during tournament,morning,children allowed,free snacks and drinks
79,rents allowed during tournament,morning,children allowed,free snacks and drinks
80,rents allowed during tournament,evening,children allowed,no snacks and drinks provided
81,rents disabled during tournaments,evening,children allowed,no snacks and drinks provided
82,rents disabled during tournaments,morning,do not bring children,free snacks and drinks
83,rents disabled during tournaments,evening,do not bring children,no snacks and drinks provided
84,rents disabled during tournaments,morning,do not bring children,no snacks and drinks provided
85,rents disabled during tournaments,morning,children allowed,free snacks and drinks
86,rents allowed during tournament,morning,children allowed,no snacks and drinks provided
87,rents disabled during tournaments,evening,children allowed,free snacks and drinks
88,rents disabled during tournaments,evening,children allowed,free snacks and drinks
89,rents disabled during tournaments,morning,children allowed,no snacks and drinks provided
90,rents disabled during tournaments,evening,do not bring children,no snacks and drinks provided
91,rents allowed during tournament,evening,children allowed,no snacks and drinks provided
92,rents disabled during tournaments,evening,children allowed,no snacks and drinks provided
93,rents disabled during tournaments,morning,do not bring children,free snacks and drinks
94,rents allowed during tournament,evening,children allowed,no snacks and drinks provided
95,rents disabled during tournaments,morning,do not bring children,free snacks and drinks
96,rents disabled during tournaments,evening,children allowed,free snacks and drinks
97,rents allowed during tournament,morning,children allowed,no snacks and drinks provided
98,rents allowed during tournament,morning,children allowed,free snacks and drinks
99,rents disabled during tournaments,evening,do not bring children,no snacks and drinks provided
100,rents disabled during tournaments,evening,do not bring children,no snacks and drinks provided
